"id","epocs", "MiniBatch_Id","test_matches","test_cases", "lambda_Reg_", "Cost","Cost_Function_Name","Learning Rate","Total Samples"
24,30,100,76.00,100,1,0.5721549035732,"Quadratic",0.1,1000
25,30,100,67.00,100,1,0.543002253647658,"Quadratic",0.1,1000
26,30,100,73.00,100,1,0.723516866797912,"Quadratic",0.1,1000
27,30,100,69.00,100,1,0.68670084993718,"Quadratic",0.1,1000
28,30,100,73.00,100,1,0.501125801729145,"Quadratic",0.1,1000
29,30,100,70.00,100,1,0.497818382641934,"Quadratic",0.1,1000
"id","epocs", "MiniBatch_Id","test_matches","test_cases", "lambda_Reg_", "Cost","Cost_Function_Name","Learning Rate","Total Samples"
0,30,100,46.00,100,1.5,0.442961127413921,"Quadratic",0.1,1000
1,30,100,51.00,100,1.5,0.523493013220002,"Quadratic",0.1,1000
2,30,100,55.00,100,1.5,0.552917128262053,"Quadratic",0.1,1000
3,30,100,57.00,100,1.5,0.480472509562334,"Quadratic",0.1,1000
4,30,100,56.00,100,1.5,0.541875998188801,"Quadratic",0.1,1000
5,30,100,59.00,100,1.5,0.578152140055506,"Quadratic",0.1,1000
6,30,100,58.00,100,1.5,0.457346088437083,"Quadratic",0.1,1000
7,30,100,66.00,100,1.5,0.443081782401627,"Quadratic",0.1,1000
8,30,100,68.00,100,1.5,0.440667501513348,"Quadratic",0.1,1000
9,30,100,72.00,100,1.5,0.540601047185483,"Quadratic",0.1,1000
10,30,100,65.00,100,1.5,0.466338291637399,"Quadratic",0.1,1000
11,30,100,72.00,100,1.5,0.538638882412817,"Quadratic",0.1,1000
12,30,100,71.00,100,1.5,0.459608510039602,"Quadratic",0.1,1000
13,30,100,71.00,100,1.5,0.542754913190916,"Quadratic",0.1,1000
14,30,100,69.00,100,1.5,0.463859453467184,"Quadratic",0.1,1000
15,30,100,68.00,100,1.5,0.475417884155551,"Quadratic",0.1,1000
16,30,100,73.00,100,1.5,0.422108990209418,"Quadratic",0.1,1000
17,30,100,64.00,100,1.5,0.507868229117032,"Quadratic",0.1,1000
18,30,100,70.00,100,1.5,0.828512633630961,"Quadratic",0.1,1000
19,30,100,75.00,100,1.5,0.526472331647498,"Quadratic",0.1,1000
20,30,100,72.00,100,1.5,0.620276830283293,"Quadratic",0.1,1000
21,30,100,76.00,100,1.5,0.609374480448991,"Quadratic",0.1,1000
22,30,100,68.00,100,1.5,0.527110010353984,"Quadratic",0.1,1000
23,30,100,75.00,100,1.5,0.537288429233734,"Quadratic",0.1,1000
24,30,100,72.00,100,1.5,0.464971858978961,"Quadratic",0.1,1000
25,30,100,74.00,100,1.5,0.467403195464618,"Quadratic",0.1,1000
26,30,100,65.00,100,1.5,0.510971587812467,"Quadratic",0.1,1000
27,30,100,72.00,100,1.5,0.616584343228361,"Quadratic",0.1,1000
28,30,100,76.00,100,1.5,0.480836408174721,"Quadratic",0.1,1000
29,30,100,71.00,100,1.5,0.73834525717198,"Quadratic",0.1,1000
"id","epocs", "MiniBatch_Id","test_matches","test_cases", "lambda_Reg_", "Cost","Cost_Function_Name","Learning Rate","Total Samples"
0,30,100,10.00,100,0,17.4711633428618,"Cross Entropy",1,1000
1,30,100,10.00,100,0,26.2471247178317,"Cross Entropy",1,1000
