Iteracion, error
1, 0.25030484821182
2, 0.250263117825441
3, 0.250189704777666
4, 0.249621893198497
5, 0.24930122821644
6, 0.249850591604138
7, 0.25003552210983
8, 0.250056720706657
9, 0.249783346010298
10, 0.250275486780336
11, 0.250450747436878
12, 0.2505195142582
13, 0.250148181774648
14, 0.249716852946718
15, 0.250799471719719
16, 0.249906458587582
17, 0.249920654197957
18, 0.250546217961448
19, 0.250586089906244
20, 0.250450877693173
21, 0.250460602990892
22, 0.250496830189335
23, 0.250200120471379
24, 0.249882703864157
25, 0.250513303508997
26, 0.250513419230443
27, 0.250025925814402
28, 0.250536000999607
29, 0.250044954143887
30, 0.250339779240689
31, 0.24959643644258
32, 0.249664174166399
33, 0.249740345424399
34, 0.249945187266233
35, 0.249765586032929
36, 0.24984555502878
37, 0.249743650888014
38, 0.249815707686677
39, 0.249719968560352
40, 0.249669323571755
41, 0.250714818024064
42, 0.250124182091695
43, 0.250245140746477
44, 0.250019347449676
45, 0.250793715103334
46, 0.250211116558989
47, 0.249865342113411
48, 0.250058473708141
49, 0.249780970093406
50, 0.250584315150886
51, 0.25083155961756
52, 0.249694057128963
53, 0.251074272775323
54, 0.25060510942901
55, 0.250786290052668
56, 0.250000673897915
57, 0.250108659877882
58, 0.249627467386849
59, 0.249960267644737
60, 0.249501920077078
61, 0.249860480131949
62, 0.249492511178193
63, 0.249871813956346
64, 0.250347418735288
65, 0.250977801074552
66, 0.250025868516074
67, 0.250067660517814
68, 0.249445973201762
69, 0.249496827189863
70, 0.251453674959438
71, 0.250279944474982
72, 0.249675720263866
73, 0.250088400698981
74, 0.249910468514071
75, 0.249522014355511
76, 0.250162837836198
77, 0.250199207900609
78, 0.250291619700571
79, 0.250051118969175
80, 0.250327354213313
81, 0.250054456113727
82, 0.249844316517153
83, 0.249991605226601
84, 0.250108032431739
85, 0.249618739730588
86, 0.250211080744772
87, 0.250300584652513
88, 0.24976622031401
89, 0.250303455349753
90, 0.250405614248336
91, 0.249391232811748
92, 0.250536343154294
93, 0.250015121060254
94, 0.250289561352297
95, 0.250385252349065
96, 0.250717717360139
97, 0.249605936452137
98, 0.249988938899123
99, 0.249001119497315
100, 0.250595682787271
101, 0.250312771980346
102, 0.2495418505413
103, 0.249570402968599
104, 0.249289802654936
105, 0.249627635982304
106, 0.249776449762424
107, 0.249117191121168
108, 0.250636956555281
109, 0.250953916289537
110, 0.250318684500283
111, 0.250012210576171
112, 0.249695953318294
113, 0.249932575116216
114, 0.249615916651911
115, 0.250052289262433
116, 0.249913397484391
117, 0.249815051485187
118, 0.249816812041658
119, 0.250062550852611
120, 0.249052534985671
121, 0.249065222340703
122, 0.24995737881232
123, 0.249148067526783
124, 0.24978998165199
125, 0.249232098214464
126, 0.24928540982478
127, 0.249654208692398
128, 0.250778476016717
129, 0.250729538958584
130, 0.250012391690743
131, 0.250013779621488
132, 0.250811665236282
133, 0.250755654261374
134, 0.250675449014554
135, 0.250182939014712
136, 0.250131217678575
137, 0.249366926191758
138, 0.249845518972559
139, 0.249608763408489
140, 0.249763517342743
141, 0.250139730761983
142, 0.249155391922752
143, 0.24927509414172
144, 0.250461579375643
145, 0.249917275870542
146, 0.249656060991194
147, 0.250599217929844
148, 0.249879420863675
149, 0.249637241878518
150, 0.249637151297198
151, 0.250218762814188
152, 0.250172176980452
153, 0.251023635634127
154, 0.250265668030698
155, 0.250285985791499
156, 0.250444008062533
157, 0.249636520641696
158, 0.250345086247346
159, 0.250906762001512
160, 0.251186275306731
161, 0.250049452568779
162, 0.249951364273581
163, 0.250877219908869
164, 0.250097715017451
165, 0.249277618005025
166, 0.250376125317716
167, 0.249629890031003
168, 0.249878022007998
169, 0.250506932964617
170, 0.250979951021836
171, 0.250120760549767
172, 0.249827830814776
173, 0.250083153398726
174, 0.250611316784415
175, 0.250921164285465
176, 0.251019190545769
177, 0.250771419245731
178, 0.25003948570407
179, 0.250219486493383
180, 0.250669755382894
181, 0.25025395737796
182, 0.250185391658541
183, 0.249362873758107
184, 0.249124361939024
185, 0.249904728873511
186, 0.250079555637283
187, 0.25046545052561
188, 0.250336460718952
189, 0.250958457318037
190, 0.250622380912157
191, 0.250274712284136
192, 0.250288189055602
193, 0.250124670059094
194, 0.250133212475636
195, 0.250689796442046
196, 0.250317660263285
197, 0.250207197551418
198, 0.250308925080015
199, 0.250344190617155
200, 0.250584211082853
201, 0.25068497650034
202, 0.249485214474165
203, 0.249432137702023
204, 0.250240642431186
205, 0.250152672869985
206, 0.25005356115359
207, 0.250919809280818
208, 0.250441387910037
209, 0.250451411961684
210, 0.250451408067009
211, 0.250198548923602
212, 0.250163620813491
213, 0.249769601693805
214, 0.249279126352122
215, 0.24957023685908
216, 0.250047425338768
217, 0.250441272326322
218, 0.250451183518379
219, 0.24945630623546
220, 0.249440859987205
221, 0.250642883736048
222, 0.249801071395073
223, 0.250901904309636
224, 0.249406195131274
225, 0.249396277772381
226, 0.249870340219349
227, 0.249249537498995
228, 0.25014230591469
229, 0.250388109126093
230, 0.250451551423512
231, 0.249449897579076
232, 0.249649288437324
233, 0.25132184344127
234, 0.250439289601079
235, 0.249736510073145
236, 0.250699735800647
237, 0.250948346208892
238, 0.250525159551967
239, 0.251048725525615
240, 0.250384394241506
241, 0.249710357819383
242, 0.248980356292566
243, 0.249517120180339
244, 0.249769163034035
245, 0.249420082021761
246, 0.2506898848989
247, 0.251058792949392
248, 0.250191579532215
249, 0.250080959081111
250, 0.250146367852248
251, 0.249670766353353
252, 0.250781592064108
253, 0.25080842933262
254, 0.250437813744762
255, 0.250014921581453
256, 0.250832943114096
257, 0.250166648361107
258, 0.250040000559767
259, 0.250215105028012
260, 0.249951582332116
261, 0.249399620483044
262, 0.249637225005301
263, 0.249831668773366
264, 0.250166779607741
265, 0.2505380107276
266, 0.250216744380515
267, 0.24921474437244
268, 0.249472061046387
269, 0.249631385824968
270, 0.250378720931659
271, 0.249905677063986
272, 0.249767125443837
273, 0.249595527309536
274, 0.249881384306423
275, 0.249894315716024
276, 0.249788551154763
277, 0.249408712225133
278, 0.250460387936528
279, 0.249142177327233
280, 0.249906783093466
281, 0.25067000174236
282, 0.250907328172659
283, 0.250171603422847
284, 0.250652130677321
285, 0.250820239874239
286, 0.250715712710362
287, 0.250794721197638
288, 0.250571831041403
289, 0.249867279681912
290, 0.249788212890787
291, 0.249766275346072
292, 0.250711968070507
293, 0.250014059668797
294, 0.249865400165058
295, 0.249962948211907
296, 0.249247401978
297, 0.249463831240655
298, 0.250798404852756
299, 0.250203056421305
300, 0.250083483467027
301, 0.249555083844036
302, 0.249556923475507
303, 0.249527167272166
304, 0.249910754635614
305, 0.249911092687791
306, 0.250156802291637
307, 0.251181469630666
308, 0.249732097385985
309, 0.250442483201201
